Name,Year,Genre,Director,Writers,Rating,Liked,Acting,Story,Music
Parasite,2019,"Comedy, Thriller, Drama",Bong Joon Ho,"Bong Joon Ho, Han Jin-won",5,Yes,5,5,5
Fight Club,1999,"Drama, Thriller",David Fincher,Jim Uhls,5,Yes,5,5,5
Interstellar,2014,"Adventure, Drama, Science Fiction",Christopher Nolan,"Jonathan Nolan, Christopher Nolan",5,Yes,5,5,5
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure, Science Fiction",Bob Persichetti,"Phil Lord, Rodney Rothman",5,Yes,5,5,5
Knives Out,2019,"Comedy, Crime, Mystery",Rian Johnson,Rian Johnson,5,Yes,5,5,5
Joker,2019,"Crime, Thriller, Drama",Todd Phillips,"Scott Silver, Todd Phillips, Bill Finger, Bob Kane, Jerry Robinson",4.5,Yes,4.5,4.5,4
Pulp Fiction,1994,"Thriller, Crime, Comedy",Quentin Tarantino,"Quentin Tarantino, Roger Avary",4,Yes,4,4.5,4
Whiplash,2014,"Drama, Music, Thriller",Damien Chazelle,Damien Chazelle,4,Yes,4,4.5,4
Oppenheimer,2023,"Drama, History",Christopher Nolan,Christopher Nolan,5,Yes,5,5,5
The Dark Knight,2008,"Action, Crime, Thriller",Christopher Nolan,"David S. Goyer, Jonathan Nolan, Christopher Nolan, Bob Kane",5,Yes,5,5,5
Inception,2010,"Action, Science Fiction, Adventure",Christopher Nolan,Christopher Nolan,5,Yes,5,5,5
Spider-Man: No Way Home,2021,"Action, Adventure, Science Fiction",Jon Watts,"Stan Lee, Chris McKenna, Erik Sommers, Steve Ditko",3.5,Yes,3.5,3.5,3
The Grand Budapest Hotel,2014,"Comedy, Drama",Wes Anderson,"Wes Anderson, Hugo Guinness",5,Yes,5,5,5
The Truman Show,1998,"Comedy, Drama",Peter Weir,Andrew Niccol,4,Yes,4,4.5,4
The Wolf of Wall Street,2013,"Crime, Drama, Comedy",Martin Scorsese,Terence Winter,4,Yes,4,4.5,4
American Psycho,2000,"Thriller, Drama, Crime",Mary Harron,"Mary Harron, Guinevere Turner",3.5,Yes,3.5,3.5,3
The Shining,1980,"Horror, Thriller",Stanley Kubrick,"Diane Johnson, Stanley Kubrick",4,Yes,4,4.5,4
Once Upon a Time... in Hollywood,2019,"Comedy, Drama, Thriller",Quentin Tarantino,Quentin Tarantino,3.5,No,3.5,3.5,3
Inglourious Basterds,2009,"Drama, Thriller, War",Quentin Tarantino,Quentin Tarantino,5,Yes,5,5,5
Glass Onion,2022,"Comedy, Crime, Mystery",Rian Johnson,Rian Johnson,3.5,Yes,3.5,3.5,3
Avengers: Infinity War,2018,"Adventure, Action, Science Fiction",Joe Russo,"Joe Simon, Bill Mantlo, Jack Kirby, Steve Englehart, Steve Gan, Larry Lieber, Jim Starlin, Stan Lee, Don Heck, Keith Giffen, Stephen McFeely, Christopher Markus",3.5,Yes,3.5,3.5,3
Avengers: Endgame,2019,"Adventure, Science Fiction, Action",Anthony Russo,"Jim Starlin, Joe Simon, Jack Kirby, Steve Englehart, Steve Gan, Bill Mantlo, Keith Giffen, Stan Lee, Larry Lieber, Don Heck, Christopher Markus, Stephen McFeely",3.5,Yes,3.5,3.5,3
Forrest Gump,1994,"Comedy, Drama, Romance",Robert Zemeckis,Eric Roth,5,Yes,5,5,5
Se7en,1995,"Crime, Mystery, Thriller",David Fincher,Andrew Kevin Walker,3.5,Yes,3.5,3.5,3
The Social Network,2010,Drama,David Fincher,Aaron Sorkin,4,Yes,4,4.5,4
Hereditary,2018,"Horror, Mystery, Thriller",Ari Aster,Ari Aster,4,Yes,4,4.5,4
The Godfather,1972,"Drama, Crime",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",5,Yes,5,5,5
Shutter Island,2010,"Drama, Thriller, Mystery",Martin Scorsese,Laeta Kalogridis,3.5,Yes,3.5,3.5,3
The Matrix,1999,"Action, Science Fiction",Lana Wachowski,"Lana Wachowski, Lilly Wachowski",5,Yes,5,5,5
Taxi Driver,1976,"Crime, Drama",Martin Scorsese,Paul Schrader,5,Yes,5,5,5
Ratatouille,2007,"Animation, Comedy, Family, Fantasy",Brad Bird,"Jan Pinkava, Brad Bird, Jim Capobianco",5,Yes,5,5,5
Jojo Rabbit,2019,"Comedy, War, Drama",Taika Waititi,Taika Waititi,4.5,Yes,4.5,4.5,4
Guardians of the Galaxy,2014,"Action, Science Fiction, Adventure",James Gunn,"Keith Giffen, Bill Mantlo, Steve Englehart, Jim Starlin, Steve Gan, Steve Gerber, Val Mayerik, Nicole Perlman, James Gunn",3.5,Yes,3.5,3.5,3
Don't Look Up,2021,"Comedy, Science Fiction, Drama",Adam McKay,"Adam McKay, David Sirota",3.5,Yes,3.5,3.5,3
The Shawshank Redemption,1994,"Drama, Crime",Frank Darabont,Frank Darabont,5,Yes,5,5,5
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Fantasy, Action",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson",5,Yes,5,5,5
Dead Poets Society,1989,Drama,Peter Weir,Tom Schulman,5,Yes,5,5,5
Coco,2017,"Family, Animation, Music, Adventure",Lee Unkrich,"Adrian Molina, Matthew Aldrich",4,Yes,4,4.5,4
Spider-Man: Homecoming,2017,"Action, Adventure, Science Fiction",Jon Watts,"Joe Simon, Jack Kirby, Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers",3,Yes,3,3.5,3
Star Wars,1977,"Adventure, Action, Science Fiction",George Lucas,George Lucas,4,Yes,4,4.5,4
Top Gun: Maverick,2022,"Action, Drama",Joseph Kosinski,"Ehren Kruger, Eric Warren Singer, Christopher McQuarrie, Justin Marks, Peter Craig, Jim Cash, Jack Epps Jr.",4,Yes,4,4.5,4
1917,2019,"War, History, Drama",Sam Mendes,"Krysty Wilson-Cairns, Sam Mendes",4,Yes,4,4.5,4
Doctor Strange in the Multiverse of Madness,2022,"Fantasy, Action, Adventure",Sam Raimi,"Stan Lee, Steve Ditko, Michael Waldron",3.5,No,3.5,3.5,3
Good Will Hunting,1997,Drama,Gus Van Sant,"Matt Damon, Ben Affleck",4,Yes,4,4.5,4
Deadpool,2016,"Action, Adventure, Comedy",Tim Miller,"Rhett Reese, Paul Wernick",3.5,Yes,3.5,3.5,3
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy",Alfonso CuarÛn,Steve Kloves,3,Yes,3,3.5,3
Spider-Man: Far From Home,2019,"Action, Adventure, Science Fiction",Jon Watts,"Chris McKenna, Erik Sommers",4,Yes,4,4.5,4
Dunkirk,2017,"War, Action, Drama",Christopher Nolan,Christopher Nolan,3.5,No,3.5,3.5,3
The Avengers,2012,"Science Fiction, Action, Adventure",Joss Whedon,"Joss Whedon, Zak Penn, Jack Kirby, Joe Simon",3.5,Yes,3.5,3.5,3
Harry Potter and the Philosopher's Stone,2001,"Adventure, Fantasy",Chris Columbus,Steve Kloves,3.5,Yes,3.5,3.5,3
The Breakfast Club,1985,"Comedy, Drama",John Hughes,John Hughes,3.5,Yes,3.5,3.5,3
It,2017,"Horror, Thriller, Drama",Andy Muschietti,"Cary Joji Fukunaga, Chase Palmer, Gary Dauberman",3,Yes,3,3.5,3
Memento,2000,"Mystery, Thriller",Christopher Nolan,Christopher Nolan,4,Yes,4,4.5,4
Tenet,2020,"Action, Thriller, Science Fiction",Christopher Nolan,Christopher Nolan,3,Yes,3,3.5,3
A Quiet Place,2018,"Horror, Drama, Science Fiction",John Krasinski,"Bryan Woods, Scott Beck, John Krasinski",3,Yes,3,3.5,3
Spider-Man,2002,"Action, Science Fiction",Sam Raimi,David Koepp,4,Yes,4,4.5,4
Catch Me If You Can,2002,"Drama, Crime",Steven Spielberg,Jeff Nathanson,4,Yes,4,4.5,4
Jurassic Park,1993,"Adventure, Science Fiction",Steven Spielberg,"Michael Crichton, David Koepp",5,Yes,5,5,5
Iron Man,2008,"Action, Science Fiction, Adventure",Jon Favreau,"Mark Fergus, Hawk Ostby, Matt Holloway, Art Marcum",3.5,Yes,3.5,3.5,3
Zodiac,2007,"Crime, Mystery, Thriller",David Fincher,James Vanderbilt,4,Yes,4,4.5,4
The Lord of the Rings: The Return of the King,2003,"Adventure, Fantasy, Action",Peter Jackson,"Fran Walsh, Peter Jackson, Philippa Boyens",5,Yes,5,5,5
Doctor Strange,2016,"Fantasy, Adventure, Action",Scott Derrickson,"Scott Derrickson, Jon Spaihts, C. Robert Cargill",3.5,Yes,3.5,3.5,3
Shrek,2001,"Animation, Comedy, Fantasy, Adventure, Family",Andrew Adamson,"Terry Rossio, Joe Stillman, Ted Elliott, Roger S.H. Schulman",4,Yes,4,4.5,4
